"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,youth_selfreport_baseline_form,,text,"Record ID",,,,,,,,,,66,,,
country,youth_selfreport_baseline_form,,text,Country:,,,,,,,,,,,,,
stateetc,youth_selfreport_baseline_form,,text,State/Providence/Region:,,,,,,y,,,,,,,
years,youth_selfreport_baseline_form,,text,"Your age (years):",,,number,,,y,,,,,,,
before,youth_selfreport_baseline_form,BACKGROUND,descriptive,"First, before we get started with the main questions, we would like to obtain some background information about you.
",,,,,,,,,,,,,
sex,youth_selfreport_baseline_form,,dropdown,"Please specify your sex:","1, Male | 2, Female | 3, Other",,,,,,,,,,,,
sex_other,youth_selfreport_baseline_form,,text,Other:,,,,,,,"[sex] = '3'",,,,,,
race,youth_selfreport_baseline_form,,checkbox,"Thinking about what you know of your family history, which of the following best describes the geographic regions where your ancestors (i.e. your great-great-grandparents) come from?
You may select as many choices as you need.","1, England, Ireland, Scotland or Wales | 2, Australia - not of Aboriginal or Torres Strait Islander descent | 3, Australia - of Aboriginal or Torres Strait Islander descent | 4, New Zealand - not of Maori descent | 5, New Zealand - of Maori descent | 6, Northern Europe including Sweden, Norway, Finland and surrounding countries | 7, Western Europe including France, Germany, the Netherlands and surrounding countries | 8, Southern Europe including Italy, Greece, Spain, Portugal and surrounding countries | 9, Eastern Europe including Russia, Poland, Hungary and surrounding countries | 10, Middle East including Lebanon, Turkey and surrounding countries | 11, Eastern Asia including China, Japan, South Korea, North Korea, Taiwan and Hong Kong | 12, South-East Asia including Thailand, Malaysia, Indonesia, Singapore and surrounding countries | 13, South Asia including India, Pakistan, Sri Lanka and surrounding countries | 14, Polynesia, Micronesia or Melanesia including Tonga, Fiji, Papua New Guinea and surrounding countries | 15, Africa | 16, North America - not of First Nations, Native American, Inuit or Métis descent | 17, North America - of First Nations, Native American, Inuit or Métis descent | Caribbean, Central or South America | 18, Don't know | 19, Other",,,,,,,,,,,,
hispanic,youth_selfreport_baseline_form,,yesno,"Are you of Hispanic or Latino descent - that is, Mexican, Mexican American, Chicano, Puerto Rican, Cuban, South or Central American or other Spanish culture or origin?",,,,,,,,,,,,,
school,youth_selfreport_baseline_form,,checkbox,"Are you enrolled in school/college for the current academic year?","1, Not in school | 2, Elementary school | 3, Junior High or Middle School | 4, High School | 5, College/Vocational | 6, Graduate",,,,,,,,,,,,
location,youth_selfreport_baseline_form,,radio,"Which best describes the area in which you live?","1, Large city | 2, Suburbs of a large city | 3, Small city | 4, Town or village | 5, Rural area",,,,,,,,,,,,
householdnumber,youth_selfreport_baseline_form,,text,"How many people currently live in your home (excluding yourself)? ",,,number,,,,,,,,,,
householdcomp,youth_selfreport_baseline_form,,checkbox,"Please specify your relationship to the people in your home (check all that apply):","1, Partner/Spouse | 2, Parent(s) | 3, Grandparent(s) | 4, Siblings | 5, Children | 6, Other relatives | 7, Unrelated person",,,,,,,,,,,,
roomsinhouse,youth_selfreport_baseline_form,,text,"How many rooms (total) are in your home?  ",,,number,,,,,,,,,,
physicalhealth,youth_selfreport_baseline_form,,radio,"How would you rate your overall physical health? ","1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,,,
healthconditions,youth_selfreport_baseline_form,,checkbox,"Has a health professional ever told you that you had any of the following health conditions (check all that apply)? ","1, Seasonal allergies | 2, Asthma or other lung problems | 3, Heart problems | 4, Kidney problems | 5, Immune disorder | 6, Diabetes or high blood sugar | 7, Cancer | 8, Arthritis | 9, Frequent or very bad headaches | 10, Epilepsy or seizures | 11, Serious stomach or bowel problems | 12, Serious acne or skin problems | 13, Emotional or mental health problems such as Depression or Anxiety | 14, Problems with alcohol or drugs",,,,,,,,,,,,
tall,youth_selfreport_baseline_form,,text,"How tall are you? (inches)",,,number,,,,,,,,,,
weight,youth_selfreport_baseline_form,,text,"How much do you weigh? (pounds)",,,number,,,,,,,,,,
mentalhealth,youth_selfreport_baseline_form,,radio,"How would you rate your overall Mental/Emotional health before the Coronavirus/COVID-19 crisis in your area? ","1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor",,,,,,,,,,,,
twoweekscovid,youth_selfreport_baseline_form,"CORONAVIRUS/COVID-19 HEALTH/EXPOSURE STATUS",descriptive,"During the <u>PAST TWO WEEKS<u>:",,,,,,,,,,,,,
exposed,youth_selfreport_baseline_form,,checkbox,"...have you been exposed to someone likely to have Coronavirus/COVID-19? (check all that apply)","1, Yes, someone with positive test | 2, Yes, someone with medical diagnosis, but no test | 3, Yes, someone with possible symptoms, but no diagnosis by doctor | 4, No",,,,,,,,,,,,
infected,youth_selfreport_baseline_form,,radio,"...have you been suspected of having Coronavirus/COVID-19 infection?","1, Yes, has positive test | 2, Yes, medical diagnosis, but no test | 3, Yes, have had some possible symptoms, but no diagnosis by doctor | 4, No symptoms or signs",,,,,,,,,,,,
symptoms,youth_selfreport_baseline_form,,checkbox,"...have you had any of the following symptoms? (check all that apply)","1, Fever | 2, Cough | 3, Shortness of breath | 4, Sore throat | 5, Fatigue | 6, Loss of taste or smell | 7, Other",,,,,,,,,,,,
othersymptoms,youth_selfreport_baseline_form,,text,Other:,,,,,,,"[symptoms(7)] = '1'",,,,,,
diagnosedfamily,youth_selfreport_baseline_form,,checkbox,"...has anyone in your family been diagnosed with Coronavirus/COVID-19? (check all that apply)","1, Yes, member of household | 2, Yes, non-household member | 3, No",,,,,,,,,,,,
